epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
20,250,1,50,2,ELU,94.181:51.552:51.515:51.504:51.501:51.5:51.497:51.497:51.498:51.494:51.495:51.495:51.495:51.705:51.637:51.492:51.493:51.723:51.503:51.498,51.743:51.641:51.624:51.624:51.622:51.62:51.616:51.618:51.614:51.617:51.624:51.615:51.614:53.23:51.619:51.622:51.613:51.656:51.611:51.613
20,250,1,50,2,ReLU,65.74:51.713:51.669:51.657:52.02:51.83:51.652:51.654:51.653:51.653:51.652:51.653:51.651:51.654:51.726:51.693:51.648:51.652:51.651:51.783,51.583:51.478:51.456:51.45:51.792:51.446:51.446:51.444:51.446:51.445:51.463:51.439:51.443:51.445:51.578:51.446:51.446:51.449:51.504:51.453
20,250,1,50,2,SELU,160.296:51.508:51.478:51.47:51.469:51.466:51.465:51.466:51.464:51.463:51.463:51.476:52.094:51.463:51.462:53.014:51.477:51.46:51.46:51.703,51.762:51.683:51.672:51.676:51.666:51.669:51.664:51.661:51.659:51.663:51.657:52.008:51.657:51.655:51.654:51.805:51.651:51.648:51.649:51.787
20,250,1,50,5,ELU,117.432:51.734:51.669:51.653:51.652:52.191:51.647:52.895:52.037:51.645:51.993:52.533:51.642:51.641:51.644:52.23:52.295:51.694:51.641:52.277,51.681:51.495:51.472:51.467:51.467:51.462:51.457:55.314:51.466:51.457:55.984:51.459:51.46:51.456:51.606:51.476:52.073:51.455:51.451:51.838
20,250,1,50,5,ReLU,86.967:51.782:51.683:51.662:51.652:51.643:51.647:51.645:51.639:51.644:51.645:51.661:51.692:51.641:51.659:51.783:51.644:51.638:51.641:51.68,51.798:51.527:51.494:51.468:51.466:51.476:51.474:51.463:51.461:51.459:51.463:51.55:51.466:51.455:51.551:51.497:51.454:51.46:51.453:51.681
20,250,1,50,5,SELU,315.777:51.626:51.578:51.566:51.564:51.562:51.562:51.562:51.564:61.5:51.572:51.556:51.556:51.557:51.558:53.614:51.588:51.555:51.555:51.555,51.72:51.581:51.562:51.56:51.546:51.545:51.545:51.547:51.544:51.678:51.545:51.545:51.545:51.547:51.546:51.779:51.547:51.548:51.548:51.543
20,250,1,50,7,ELU,146.224:51.746:51.656:51.633:51.629:51.626:51.625:53.275:51.662:51.622:51.624:51.623:52.06:51.801:51.726:51.727:52.329:51.751:51.845:51.723,51.828:51.528:51.501:51.499:51.49:51.501:51.483:51.851:51.485:51.485:51.479:51.48:51.533:51.777:51.515:51.961:51.943:51.793:51.5:52.14
20,250,1,50,7,ReLU,114.478:51.841:51.556:51.495:51.478:51.47:51.472:51.464:51.462:51.751:51.46:51.463:51.46:51.458:51.464:51.982:51.464:51.459:51.46:51.489,52.59:51.901:51.814:51.764:51.764:51.755:51.751:51.753:51.791:51.746:51.752:51.747:51.74:51.748:51.796:51.776:51.769:51.752:51.737:51.753
20,250,1,50,7,SELU,352.924:51.744:51.624:51.607:51.607:57.981:52.536:51.599:51.602:51.604:51.603:51.603:54.685:51.61:51.601:54.889:51.733:52.054:52.232:55.813,51.992:51.565:51.525:51.518:51.521:60.927:51.515:51.519:51.518:51.507:51.516:51.532:51.579:51.51:51.737:51.725:51.6:51.54:63.732:51.529
20,250,1,50,10,ELU,156.511:51.806:51.654:51.625:51.95:52.429:54.497:51.649:52.182:51.948:51.615:53.467:51.701:52.625:52.429:51.621:52.016:51.782:51.642:52.333,52.062:51.598:51.553:51.541:58.276:51.559:51.672:51.529:52.44:51.554:51.521:51.68:51.546:59.502:51.514:51.625:52.104:51.523:51.94:53.93
20,250,1,50,10,ReLU,127.97:52.026:51.685:51.614:51.594:51.585:51.571:51.57:51.569:51.565:51.563:51.56:51.562:51.562:51.664:51.643:51.561:51.562:51.555:51.907,52.621:51.783:51.657:51.633:51.616:51.601:51.6:51.601:51.6:51.599:51.591:51.586:51.587:51.596:52.277:51.592:51.593:51.585:51.585:51.887
20,250,1,50,10,SELU,374.067:51.699:51.534:51.509:51.504:51.496:62.469:55.403:51.495:51.493:51.495:51.493:51.496:52.968:51.619:52.371:51.625:52.578:55.617:51.668,52.274:51.701:51.637:51.634:51.625:51.62:78.415:51.631:51.622:51.629:51.612:51.626:51.645:51.634:52.873:51.727:53.115:51.851:51.81:51.846
20,250,1,50,20,ELU,310.717:52.305:51.717:51.596:51.544:53.925:51.53:53.089:51.521:53.081:51.814:52.121:54.533:51.795:52.932:51.922:52.594:51.699:52.532:53.003,53.457:51.951:51.746:51.688:51.668:51.683:51.679:51.667:51.619:51.983:51.717:53.465:51.637:51.667:51.681:51.684:53.001:51.642:52.214:51.628
20,250,1,50,20,ReLU,262.974:53.124:52.092:51.821:51.717:52.441:51.652:51.632:51.624:51.621:51.613:51.613:51.968:51.803:51.926:51.683:51.611:51.608:51.602:52.006,54.711:52.289:51.854:51.702:51.664:51.615:51.593:51.574:51.565:51.556:51.578:51.584:51.765:51.568:51.634:51.55:51.555:51.546:51.54:51.542
