epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
50,500,2,100,20,ELU,232.301:26.734:25.897:25.839:28.958:26.096:25.817:25.816:29.729:25.883:25.814:25.81:26.132:25.828:25.808:26.78:26.385:26.505:25.817:25.817:27.039:25.834:25.808:26.84:25.873:25.806:25.848:26.628:26.06:26.311:26.042:25.836:26.62:25.82:25.804:26.545:25.867:25.957:26.102:26.288:25.825:26.162:25.878:26.247:25.902:25.825:25.886:26.528:25.915:26.071,29.889:25.903:25.792:25.763:26.8:25.768:25.755:25.758:26.184:25.748:25.749:25.751:25.921:25.748:25.75:25.956:32.606:25.818:25.75:25.959:25.843:25.748:25.749:26.073:25.746:25.747:26.976:25.775:25.944:25.849:25.777:26.386:25.812:25.744:25.745:25.886:25.754:25.801:26.263:25.846:25.746:25.854:26.09:25.832:25.775:25.746:27.084:25.823:26.571:26.731
50,500,2,100,20,ReLU,184.728:26.467:25.997:25.902:25.871:25.844:25.823:25.815:25.803:25.799:25.79:25.789:25.787:25.782:25.787:25.78:25.78:25.78:25.776:25.778:25.777:25.787:25.822:25.774:25.773:25.776:25.878:25.771:25.772:25.772:25.771:25.958:25.771:25.768:25.768:25.769:25.772:25.769:25.926:25.801:25.768:25.766:25.767:25.768:25.772:25.768:25.913:25.776:25.765:25.766,27.553:26.121:25.978:25.919:25.888:25.864:25.852:25.851:25.833:25.836:25.835:25.823:25.822:25.816:25.824:25.819:25.813:25.812:25.812:25.815:25.808:26.192:25.815:25.817:25.815:25.957:25.806:25.816:25.813:25.806:25.813:25.826:25.805:25.808:25.813:25.816:25.808:25.81:25.913:25.807:25.809:25.803:25.814:25.81:25.808:25.806:25.824:25.81:25.801:25.804
50,500,2,100,20,SELU,822.109:29.174:26.122:25.95:25.9:25.885:25.876:25.874:25.871:25.872:36.6:26.566:26.083:29.073:28.67:33.258:29.689:25.892:25.868:25.865:25.866:29.062:25.954:25.866:25.867:28.704:26.724:25.874:25.932:30.066:25.938:25.868:25.866:34.234:32.369:25.91:25.864:25.862:25.864:27.752:25.95:25.94:26.28:26.564:26.329:26.055:26.053:26.247:27.958:28.655,37.479:26.157:25.817:25.737:25.708:25.696:25.697:25.698:25.692:25.717:26.54:26.1:25.739:51.736:25.801:57.197:25.821:25.692:25.689:25.689:25.715:26.146:25.695:25.691:25.711:31.316:25.732:25.689:28.776:26.059:25.699:25.689:25.715:61.37:25.903:25.692:25.688:25.689:25.719:26.029:25.696:26.79:25.968:26.379:25.829:25.919:26.934:26.167:33.913:26.016
50,500,2,100,50,ELU,489.009:28.898:26.534:28.509:27.736:25.939:30.952:26.067:25.825:25.915:30.298:26.63:26.96:25.819:26.797:25.849:28.603:26.124:25.918:28.086:26.279:25.752:28.343:26.067:25.75:27.586:26.068:27.54:25.968:26.012:25.897:26.698:27.324:26.018:25.835:26.881:26.171:26.746:25.927:26.421:27.127:25.853:26.043:26.787:26.253:25.882:26.452:26.822:25.77:26.89,35.27:27.054:26.406:43.132:26.168:25.99:26.992:25.946:25.902:31.7:26.006:27.487:26.001:25.874:26.031:25.983:26.574:25.897:25.914:26.424:25.871:25.844:26.897:25.864:25.843:26.991:25.89:26.755:25.853:26.171:25.844:27.073:27.127:25.878:25.862:27.241:25.896:26.193:26.361:26.925:26.259:25.834:25.865:26.219:27.135:25.834:27.257:25.991:25.83:26.44
50,500,2,100,50,ReLU,449.49:27.617:26.228:26.02:25.941:25.886:25.862:25.852:25.839:25.832:25.821:25.819:25.822:25.811:25.812:25.816:25.807:25.805:25.8:25.803:25.8:25.806:25.872:25.803:25.798:25.955:25.881:25.798:25.795:25.792:25.797:26.422:25.793:25.79:25.788:25.787:25.788:25.786:25.782:25.859:25.808:25.791:25.911:25.885:25.785:25.782:25.784:26.327:25.818:25.785,31.381:26.44:26.106:25.977:25.928:25.896:25.875:25.851:25.843:25.846:25.835:25.83:25.822:25.819:25.812:25.812:25.815:25.809:25.805:25.806:25.813:25.825:25.809:25.8:25.8:25.994:25.803:25.796:25.796:25.793:25.899:25.818:25.792:25.793:25.786:25.789:25.791:25.783:25.794:25.826:25.796:25.79:26.402:25.797:25.791:25.787:25.797:25.857:25.8:25.791
50,500,2,100,50,SELU,1767.125:38.976:28.708:27.284:26.684:47.961:27.271:41.284:27.7:25.984:25.917:25.887:31.638:26.363:26.046:27.942:28.585:27.886:26.051:25.858:27.771:95.36:27.018:25.81:25.785:25.78:25.775:25.773:26.15:26.213:29.27:25.852:27.386:30.952:25.834:25.838:28.873:25.826:25.876:26.272:25.777:26.711:26.676:28.26:26.609:26.048:27.176:25.966:29.605:1524.906,63.369:30.015:27.702:26.9:26.505:29.353:26.225:36.934:26.096:25.978:25.945:25.914:26.836:26.022:26.524:27.868:29.589:26.767:25.882:25.98:54.376:31.946:25.898:25.838:25.83:25.822:25.817:25.819:25.866:30.153:26.099:25.895:32.623:26.069:25.819:26.854:26.167:25.819:26.843:25.843:25.814:27.049:26.432:27.481:25.985:29.093:25.918:26.2:77.686:115.353
50,500,2,100,100,ELU,1114.131:31.554:27.147:26.506:38.859:26.738:28.424:29.642:26.057:26.192:28.603:31.546:25.901:28.013:25.943:31.879:26.403:28.837:26.396:26.952:30.548:28.225:25.929:27.059:25.899:25.802:29.718:26.808:26.241:29.797:26.698:25.908:29.897:26.024:26.077:27.181:26.725:26.018:27.403:26.699:27.16:26.015:27.116:25.939:30.17:26.171:26.636:26.131:27.048:26.16,43.54:27.784:26.718:26.524:26.503:37.973:26.065:26.037:25.9:33.724:31.231:26.083:25.881:25.957:25.829:27.873:28.873:26.729:25.845:27.717:26.639:26.09:25.908:26.034:25.802:25.935:26.079:28.909:25.906:26.229:26.216:26.984:26.726:26.158:26.065:26.486:25.91:26.056:26.381:28.105:25.943:26.24:26.107:26.324:27.249:25.867:27.069:25.93:26.9:26.128
50,500,2,100,100,ReLU,1089.958:28.831:26.316:26.074:25.964:25.93:25.89:25.875:25.86:25.862:25.85:25.843:25.846:25.841:25.835:26.227:25.844:25.824:25.824:25.822:25.816:25.819:25.817:25.904:25.856:25.842:26.144:25.813:25.808:25.838:25.85:25.819:25.9:25.846:25.821:26.476:25.813:25.799:25.798:25.989:25.799:25.799:25.795:25.798:25.793:25.794:26.099:25.83:25.793:25.791,36.412:26.579:26.134:26.006:25.932:25.895:25.881:25.857:25.852:25.844:25.838:25.834:25.827:25.831:25.838:25.896:25.824:25.822:25.815:25.81:25.817:25.803:25.816:25.831:25.843:26.06:25.81:25.799:25.809:25.836:25.821:25.819:25.847:25.811:26.047:25.823:25.793:25.801:25.8:25.817:25.794:25.791:25.798:25.787:25.79:25.792:25.887:25.788:25.793:25.781
50,500,2,100,100,SELU,4093.985:54.091:32.286:29.136:54.142:29.307:26.748:26.483:31.373:29.057:92.512:42.222:26.242:26.026:25.989:26.621:55.447:26.149:25.928:25.914:656.465:553.627:28.944:26.38:26.172:26.076:26.019:25.985:25.961:25.939:25.924:25.912:25.902:25.898:25.889:25.886:25.878:25.915:29.221:25.906:25.868:25.863:25.864:25.86:216.665:423.662:27.954:26.038:25.954:25.921,109.465:35.36:30.093:28.209:44.801:26.867:26.479:26.312:45.518:26.291:118.059:26.732:25.956:25.903:25.875:43.836:26.66:25.844:25.823:25.82:4100.125:38.17:26.488:26.141:26.011:25.94:25.901:25.865:25.838:25.829:25.813:25.806:25.794:25.789:25.785:25.779:25.771:26.793:25.976:25.769:25.764:25.761:25.756:25.756:2523.655:35.29:26.033:25.879:25.833:25.809
50,500,2,500,2,ELU,571.885:26.836:25.817:25.812:25.81:25.805:25.804:52.55:26.346:25.802:25.798:25.797:25.795:25.794:25.795:25.793:25.792:25.797:25.797:28.318:25.892:25.794:25.791:25.796:25.795:25.795:25.795:25.793:25.791:25.794:25.792:25.796:25.792:25.793:25.79:25.791:25.787:25.788:25.789:25.789:25.788:25.789:25.945:25.8:25.791:25.791:25.79:25.789:25.787:25.795,29.974:25.802:25.78:25.782:25.783:25.775:25.778:28.909:25.784:25.773:25.77:25.769:25.767:25.766:25.768:25.767:25.768:25.775:25.772:26.497:25.772:25.765:25.772:25.764:25.764:25.766:25.765:25.763:25.765:25.764:25.771:25.769:25.769:25.765:25.765:25.762:25.763:25.765:25.762:25.763:25.763:25.764:25.816:25.768:25.771:25.763:25.768:25.766:25.766:25.772
