epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
20,1000,2,100,50,ReLU,834.596:29.305:14.81:13.453:13.203:13.106:13.047:13.012:12.987:12.971:12.957:12.946:12.936:12.933:12.926:12.921:12.918:12.912:12.911:12.909,51.146:16.921:13.714:13.288:13.145:13.077:13.037:13.006:12.99:12.971:12.959:12.945:12.946:12.936:12.927:12.928:12.923:12.921:12.921:12.92
20,1000,2,100,50,SELU,3410.256:149.867:32.031:19.136:16.404:15.258:14.604:14.179:14.037:27.419:15.889:13.626:13.365:13.278:13.218:36.055:20.659:13.793:13.149:13.075,370.472:48.708:21.525:17.176:15.626:14.817:14.312:13.975:17.667:22.75:13.589:13.415:13.276:13.212:13.175:23.685:14.328:13.204:13.06:13.036
20,1000,2,100,100,ELU,2520.188:100.014:24.063:16.442:14.905:14.251:13.868:13.619:13.456:13.338:13.253:26.82:22.118:13.718:15.362:13.793:13.203:13.054:13.016:16.066,241.138:34.859:18.004:15.336:14.469:13.989:13.693:13.497:13.364:13.265:13.195:54.797:14.555:13.923:15.23:13.37:13.068:13.001:12.99:41.526
20,1000,2,100,100,ReLU,1745.119:51.977:16.909:13.961:13.467:13.279:13.161:13.087:13.035:13.004:12.974:12.956:12.939:12.926:12.918:12.907:12.902:12.892:12.891:12.886,117.72:22.024:14.599:13.713:13.448:13.299:13.215:13.156:13.113:13.083:13.055:13.039:13.025:13.015:13.009:12.995:12.987:12.987:12.984:12.986
20,1000,2,100,100,SELU,6828.516:285.205:51.037:25.914:20.449:18.028:16.607:15.683:15.052:28.293:52.253:16.436:14.121:13.761:13.609:13.499:13.412:13.342:13.285:14.027,688.223:87.934:31.498:22.314:19.059:17.275:16.15:15.401:14.88:238.408:20.738:14.692:13.934:13.741:13.618:13.524:13.441:13.376:13.329:24.348
20,1000,2,500,2,ELU,981.721:37.053:14.94:13.289:28.793:13.662:12.949:12.91:12.905:12.904:12.904:12.903:12.903:12.903:12.903:12.902:12.902:12.902:15.965:25.098,114.846:19.582:13.231:15.99:16.884:12.901:12.887:12.883:12.881:12.881:12.882:12.88:12.88:12.881:12.879:12.878:12.879:12.88:96.974:14.638
20,1000,2,500,2,ReLU,45.304:13.009:12.884:12.874:12.876:12.877:12.876:12.875:12.874:12.875:12.874:12.875:12.873:12.875:12.877:12.875:12.874:12.874:12.874:12.875,13.162:12.924:12.906:12.906:12.913:12.903:12.907:12.905:12.912:12.903:12.904:12.904:12.904:12.919:12.907:12.905:12.903:12.906:12.906:12.906
20,1000,2,500,2,SELU,6392.567:205.202:27.185:13.839:12.947:12.875:12.869:12.868:12.869:12.869:12.868:12.868:12.867:12.867:12.868:12.868:12.867:12.867:12.868:12.867,771.499:57.793:15.116:13.24:12.936:12.921:12.92:12.921:12.919:12.918:12.918:12.917:12.917:12.918:12.918:12.918:12.917:12.918:12.917:12.917
20,1000,2,500,5,ELU,1340.293:48.587:26.884:38.963:14.014:13.007:12.911:12.905:12.902:31.034:14.909:13.015:12.909:12.901:12.9:12.9:12.899:12.9:12.9:12.9,113.095:22.161:158.976:14.175:13.245:12.9:12.884:12.88:12.879:13.777:13.01:12.909:12.882:12.88:12.881:12.879:12.88:12.881:12.88:12.878
20,1000,2,500,5,ReLU,65.622:13.049:12.884:12.873:12.872:12.874:12.872:12.873:12.874:12.875:12.872:12.871:12.873:12.874:12.874:12.872:12.87:12.872:12.872:12.873,13.307:12.941:12.924:12.926:12.922:12.92:12.923:12.927:12.931:12.927:12.929:12.927:12.927:12.933:12.926:12.926:12.924:12.922:12.928:12.927
20,1000,2,500,5,SELU,6188.373:186.507:25.27:13.74:228.558:31.873:14.072:12.969:12.886:12.88:12.879:103.306:28.715:13.981:12.97:12.885:12.879:12.877:12.876:24.954,318.338:47.003:14.146:13.276:105.504:17.002:13.243:12.938:12.91:12.909:12.911:42.609:15.266:13.179:12.929:12.909:12.908:12.907:12.907:209.4
20,1000,2,500,7,ELU,958.776:125.556:19.841:13.349:12.936:12.902:12.901:29.434:15.58:13.07:12.911:12.897:12.896:12.903:20.927:13.607:12.993:12.953:13.254:13.077,82.752:37.242:13.754:13.014:12.893:12.885:12.891:17.339:13.253:12.931:12.891:12.884:12.885:12.982:15.217:13.038:12.901:12.89:12.905:12.908
