epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
50,250,1,50,2,ELU,110.716:51.663:51.626:51.617:51.612:51.609:51.611:51.607:51.609:51.607:51.608:51.606:51.606:51.61:51.605:51.605:51.603:51.605:51.608:51.604:51.604:51.604:51.605:51.604:51.615:51.685:51.604:51.637:51.732:51.605:51.604:51.605:52.026:51.614:51.601:51.602:51.601:51.601:51.6:51.95:51.618:51.601:51.638:51.772:51.618:51.749:51.618:51.601:51.706:51.614,51.651:51.558:51.537:51.531:51.529:51.531:51.526:51.526:51.534:51.527:51.523:51.527:51.55:51.522:51.52:51.524:51.52:51.517:51.526:51.522:51.521:51.528:51.516:51.523:51.567:51.518:51.519:51.712:51.526:51.52:51.533:51.519:51.543:51.516:51.513:51.513:51.511:51.514:51.512:51.603:51.513:51.513:51.666:51.611:51.515:51.601:51.509:51.526:51.582:51.524
50,250,1,50,2,ReLU,63.646:51.517:51.464:51.45:51.447:51.461:51.45:51.443:51.443:51.442:51.516:51.445:51.441:51.439:51.435:51.469:51.456:51.437:51.438:51.45:51.491:51.436:51.437:51.439:51.521:51.445:51.436:51.437:51.438:51.438:51.439:51.436:51.491:51.454:51.436:51.434:51.439:51.436:51.445:51.499:51.457:51.437:51.438:51.436:51.433:51.458:51.45:51.442:51.435:51.435,51.827:51.683:51.657:51.668:51.651:51.653:51.655:51.643:51.642:51.673:51.67:51.643:51.648:51.642:51.642:51.711:51.648:51.638:51.638:51.779:51.645:51.648:51.637:51.646:51.686:51.647:51.649:51.64:51.638:51.657:51.637:51.647:51.737:51.641:51.64:51.646:51.641:51.644:51.641:51.734:51.644:51.636:51.644:51.635:51.636:51.728:51.641:51.645:51.645:51.634
50,250,1,50,2,SELU,198.348:51.665:51.636:51.629:51.624:51.625:51.623:51.622:51.622:51.621:51.62:51.621:51.621:51.617:54.072:51.898:51.62:51.619:51.619:51.622:51.62:51.619:51.617:51.621:53.617:51.652:51.62:51.619:53.037:51.617:51.616:51.616:52.027:51.622:51.615:51.619:51.663:51.853:51.702:51.692:52.118:51.835:51.619:51.794:51.854:51.652:51.614:51.797:51.809:51.674,51.593:51.497:51.485:51.479:51.478:51.477:51.475:51.475:51.475:51.472:51.476:51.472:51.474:51.477:55.028:51.479:51.474:51.472:51.47:51.47:51.476:51.469:51.472:51.51:51.536:51.478:51.474:51.535:51.477:51.475:51.471:51.482:51.51:51.467:51.474:51.479:52.443:51.485:51.812:51.534:52.502:51.484:51.478:51.681:51.591:51.473:51.469:51.665:51.633:51.477
50,250,1,50,5,ELU,130.397:51.711:51.649:51.637:51.633:51.628:51.627:52.988:51.826:51.624:51.627:51.624:52.743:51.641:51.624:51.621:51.621:51.624:51.622:52.32:51.8:51.685:51.823:51.795:52.013:51.908:51.719:51.621:51.885:51.839:51.656:51.868:51.989:51.642:51.768:51.743:51.673:52.066:51.658:51.812:51.691:51.881:51.737:51.666:51.843:51.688:51.738:51.779:51.719:51.771,51.678:51.51:51.489:51.481:51.469:51.469:51.469:52.084:51.468:51.476:51.467:51.466:51.593:51.465:51.464:51.466:51.471:51.465:51.464:51.579:51.685:51.486:51.488:51.858:51.489:51.468:51.469:51.47:51.757:51.466:51.567:51.868:51.467:51.471:51.599:51.471:51.635:51.472:51.491:51.494:51.512:51.472:51.524:51.536:51.525:51.507:51.521:51.534:52.139:51.487
50,250,1,50,5,ReLU,90.197:51.818:51.662:51.62:51.608:51.603:51.595:51.596:51.594:51.595:51.596:51.59:51.593:51.589:51.596:51.595:51.592:51.599:51.588:51.59:51.589:51.589:51.588:51.587:51.587:51.59:51.588:51.589:51.594:51.589:51.592:51.586:51.594:51.599:51.595:51.603:51.601:51.588:51.584:51.624:51.597:51.584:51.589:51.601:51.612:51.591:51.6:51.598:51.587:51.618,51.991:51.619:51.549:51.534:51.532:51.518:51.513:51.512:51.516:51.522:51.514:51.513:51.518:51.526:51.522:51.513:51.511:51.516:51.511:51.514:51.515:51.515:51.509:51.511:51.514:51.515:51.518:51.528:51.52:51.513:51.513:51.523:51.559:51.518:51.517:51.561:51.51:51.511:51.507:51.564:51.505:51.513:51.529:51.555:51.522:51.51:51.542:51.517:51.511:51.513
50,250,1,50,5,SELU,263.083:51.535:51.447:51.438:51.429:51.432:51.427:51.427:53.699:51.493:51.428:55.956:53.432:51.434:51.427:63.066:51.7:51.428:51.423:51.423:51.423:55.147:51.728:51.427:53.581:51.525:51.422:51.426:54.935:51.575:51.419:51.426:51.424:57.248:51.592:51.426:51.425:51.423:54.918:51.486:51.424:51.423:52.231:51.496:51.451:51.75:51.558:51.823:51.692:51.923,52.11:51.695:51.68:51.669:51.674:51.66:51.667:51.661:52.268:51.663:51.661:68.073:51.68:51.657:51.68:54.019:51.664:51.654:51.657:51.654:51.656:53.505:51.66:51.658:52.23:51.659:51.654:51.654:52.675:51.656:51.66:51.658:51.658:52.861:51.656:51.668:51.657:51.655:51.969:51.665:51.653:51.665:52.24:51.764:51.705:52.052:51.808:51.851:52.466:51.987
50,250,1,50,7,ELU,146.929:51.683:51.611:51.593:51.587:51.587:51.585:51.582:51.582:52.354:51.585:51.58:54.153:51.966:51.593:51.964:51.589:52.005:51.763:51.872:51.671:51.675:51.691:51.865:51.824:51.794:51.906:51.709:51.769:51.795:51.737:51.669:52.025:51.823:51.607:51.911:51.673:51.86:52.041:51.611:51.692:51.76:51.751:51.809:51.732:51.756:51.871:51.654:51.918:51.616,51.783:51.582:51.554:51.55:51.549:51.544:51.55:51.55:51.535:51.572:51.543:51.539:54.866:51.614:51.538:51.601:51.543:53.93:51.536:51.782:51.541:52.136:51.545:52.146:51.542:52.173:52.578:51.532:51.776:51.598:51.703:51.562:52.433:51.543:51.685:51.701:51.553:51.91:51.713:51.592:51.668:51.6:51.684:51.809:51.563:52.214:51.565:51.884:51.878:51.537
50,250,1,50,7,ReLU,119.301:51.938:51.699:51.649:51.628:51.624:51.624:51.701:51.701:51.645:51.639:51.622:52.168:51.622:51.616:51.614:51.614:51.613:51.688:51.612:51.701:51.615:51.61:51.715:51.71:51.61:51.609:51.638:51.667:51.616:51.743:51.632:51.621:51.661:51.643:51.624:51.764:51.638:51.613:51.64:51.786:51.623:51.611:51.805:51.63:51.607:51.679:51.61:51.61:51.686,52.318:51.645:51.573:51.539:51.532:51.531:51.522:52.135:51.526:51.533:51.534:51.53:51.563:51.515:51.534:51.515:51.517:51.644:51.526:51.526:51.524:51.525:51.513:51.919:51.514:51.515:51.52:51.526:51.535:51.545:51.593:51.509:51.53:51.529:51.55:51.519:51.635:51.518:51.51:52.297:51.561:51.513:51.504:51.58:51.506:51.512:51.523:51.504:51.514:51.705
50,250,1,50,7,SELU,307.173:51.555:51.491:51.475:51.471:51.468:54.06:51.9:51.464:56.811:51.751:51.471:51.841:53.742:51.804:51.659:51.473:53.431:53.466:51.629:51.998:52.163:52.53:52.414:52.083:51.471:52.799:54.359:51.721:51.488:51.915:52.63:51.938:51.578:52.163:52.385:51.644:52.058:51.816:52.206:52.784:51.575:52.188:52.363:51.724:51.617:52.065:51.948:51.827:51.77,51.895:51.674:51.64:51.634:51.63:51.623:54.481:51.628:51.624:53.755:51.639:51.631:58.506:51.702:52.298:51.633:51.673:55.652:51.838:52.033:52.205:53.595:51.93:52.363:51.663:51.649:61.899:51.979:51.684:51.658:62.493:51.944:51.653:51.726:53.999:51.719:51.79:52.155:51.882:54.436:51.899:51.645:58.593:51.726:51.961:51.67:52.39:51.887:51.921:51.751
50,250,1,50,10,ELU,195.364:51.759:51.59:51.563:51.562:51.552:52.663:51.556:51.547:51.614:52.633:51.555:52.031:51.55:52.614:51.671:52.998:51.575:51.632:52.432:51.546:51.543:52.547:51.64:51.543:51.543:52.845:51.627:51.548:52.227:51.821:51.864:51.647:51.665:52.079:51.768:52.026:51.859:51.646:51.916:51.806:51.868:51.69:51.697:52.472:51.608:51.644:51.772:51.76:51.653,52.171:51.608:51.569:51.557:51.546:51.549:51.574:51.55:51.549:61.53:51.547:51.866:51.539:51.542:51.915:51.627:51.695:51.548:58.118:51.546:51.544:51.572:52.693:51.538:51.546:51.55:51.692:51.552:51.643:51.906:53.95:51.626:52.333:52.562:52.218:51.598:52.207:51.639:51.766:52.18:52.072:51.949:52.149:52.249:51.813:51.683:52.306:52.068:52.04:52.2
